대분류,소분류,연도,창업기업수
합계,소계,2016,96625
합계,기술기반업종,2016,37102
"농업, 임업 및 어업 및 광업",소계,2016,2368
제조업,소계,2016,14775
제조업,음식료품 및 음료,2016,1287
제조업,섬유 및 가죽,2016,1232
제조업,목재 가구 및 종이제품,2016,835
제조업,인쇄 및 기록매체 복제업,2016,247
제조업,고무 및 화학제품,2016,2146
제조업,기계 금속,2016,4155
제조업,전기. 전자 및 정밀기기,2016,3047
제조업,자동차 및 운송장비,2016,1236
제조업,기타제조업,2016,590
"전기, 가스, 증기 및 공기 조절 공급업",소계,2016,754
건설업,소계,2016,8575
서비스업,소계,2016,70153
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2016,285
서비스업,도매 및 소매업,2016,28232
서비스업,운수 및 창고업,2016,1902
서비스업,숙박 및 음식점업,2016,1364
서비스업,정보통신업,2016,6772
서비스업,금융 및 보험업,2016,3420
서비스업,부동산업,2016,9691
서비스업,전문 과학 및 기술 서비스업,2016,8720
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2016,5847
서비스업,교육 서비스업,2016,1337
서비스업,보건업 및 사회복지 서비스업,2016,98
서비스업,예술 스포츠 및 여가관련 서비스업,2016,1005
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2016,1480
합계,소계,2017,97549
합계,기술기반업종,2017,37652
"농업, 임업 및 어업 및 광업",소계,2017,2383
제조업,소계,2017,15054
제조업,음식료품 및 음료,2017,1320
제조업,섬유 및 가죽,2017,1192
제조업,목재 가구 및 종이제품,2017,815
제조업,인쇄 및 기록매체 복제업,2017,231
제조업,고무 및 화학제품,2017,2130
제조업,기계 금속,2017,4279
제조업,전기. 전자 및 정밀기기,2017,3363
제조업,자동차 및 운송장비,2017,1089
제조업,기타제조업,2017,635
"전기, 가스, 증기 및 공기 조절 공급업",소계,2017,2138
건설업,소계,2017,9094
서비스업,소계,2017,68880
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2017,331
서비스업,도매 및 소매업,2017,26575
서비스업,운수 및 창고업,2017,1698
서비스업,숙박 및 음식점업,2017,1481
서비스업,정보통신업,2017,6507
서비스업,금융 및 보험업,2017,3768
서비스업,부동산업,2017,9691
서비스업,전문 과학 및 기술 서비스업,2017,9145
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2017,5939
서비스업,교육 서비스업,2017,1447
서비스업,보건업 및 사회복지 서비스업,2017,62
서비스업,예술 스포츠 및 여가관련 서비스업,2017,1052
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2017,1184
합계,소계,2018,102372
합계,기술기반업종,2018,39901
"농업, 임업 및 어업 및 광업",소계,2018,2362
제조업,소계,2018,15286
제조업,음식료품 및 음료,2018,1433
제조업,섬유 및 가죽,2018,1141
제조업,목재 가구 및 종이제품,2018,866
제조업,인쇄 및 기록매체 복제업,2018,250
제조업,고무 및 화학제품,2018,2255
제조업,기계 금속,2018,4019
제조업,전기. 전자 및 정밀기기,2018,3417
제조업,자동차 및 운송장비,2018,1239
제조업,기타제조업,2018,666
"전기, 가스, 증기 및 공기 조절 공급업",소계,2018,2954
건설업,소계,2018,9326
서비스업,소계,2018,72444
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2018,325
서비스업,도매 및 소매업,2018,27251
서비스업,운수 및 창고업,2018,1741
서비스업,숙박 및 음식점업,2018,1715
서비스업,정보통신업,2018,7494
서비스업,금융 및 보험업,2018,3897
서비스업,부동산업,2018,10228
서비스업,전문 과학 및 기술 서비스업,2018,10088
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2018,5812
서비스업,교육 서비스업,2018,1421
서비스업,보건업 및 사회복지 서비스업,2018,102
서비스업,예술 스포츠 및 여가관련 서비스업,2018,1021
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2018,1349
합계,소계,2019,109520
합계,기술기반업종,2019,41010
"농업, 임업 및 어업 및 광업",소계,2019,2651
제조업,소계,2019,14807
제조업,음식료품 및 음료,2019,1296
제조업,섬유 및 가죽,2019,1188
제조업,목재 가구 및 종이제품,2019,840
제조업,인쇄 및 기록매체 복제업,2019,241
제조업,고무 및 화학제품,2019,2062
제조업,기계 금속,2019,4030
제조업,전기. 전자 및 정밀기기,2019,3130
제조업,자동차 및 운송장비,2019,1257
제조업,기타제조업,2019,763
"전기, 가스, 증기 및 공기 조절 공급업",소계,2019,1164
건설업,소계,2019,9632
서비스업,소계,2019,81266
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2019,380
서비스업,도매 및 소매업,2019,29166
서비스업,운수 및 창고업,2019,1697
서비스업,숙박 및 음식점업,2019,1754
서비스업,정보통신업,2019,7970
서비스업,금융 및 보험업,2019,4397
서비스업,부동산업,2019,14754
서비스업,전문 과학 및 기술 서비스업,2019,11417
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2019,5748
서비스업,교육 서비스업,2019,1528
서비스업,보건업 및 사회복지 서비스업,2019,123
서비스업,예술 스포츠 및 여가관련 서비스업,2019,1148
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2019,1184
합계,소계,2020,123305
합계,기술기반업종,2020,45236
"농업, 임업 및 어업 및 광업",소계,2020,2925
제조업,소계,2020,15416
제조업,음식료품 및 음료,2020,1188
제조업,섬유 및 가죽,2020,2481
제조업,목재 가구 및 종이제품,2020,841
제조업,인쇄 및 기록매체 복제업,2020,190
제조업,고무 및 화학제품,2020,2095
제조업,기계 금속,2020,3939
제조업,전기. 전자 및 정밀기기,2020,2953
제조업,자동차 및 운송장비,2020,1174
제조업,기타제조업,2020,555
"전기, 가스, 증기 및 공기 조절 공급업",소계,2020,757
건설업,소계,2020,10639
서비스업,소계,2020,93568
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2020,321
서비스업,도매 및 소매업,2020,33683
서비스업,운수 및 창고업,2020,1696
서비스업,숙박 및 음식점업,2020,1644
서비스업,정보통신업,2020,9059
서비스업,금융 및 보험업,2020,4523
서비스업,부동산업,2020,18809
서비스업,전문 과학 및 기술 서비스업,2020,14421
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2020,5595
서비스업,교육 서비스업,2020,1578
서비스업,보건업 및 사회복지 서비스업,2020,76
서비스업,예술 스포츠 및 여가관련 서비스업,2020,1088
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2020,1075
합계,소계,2021,126905
합계,기술기반업종,2021,46837
"농업, 임업 및 어업 및 광업",소계,2021,2674
