대분류,소분류,연도,창업기업수
합계,소계,2016,1093552
합계,기술기반업종,2016,153572
"농업, 임업 및 어업 및 광업",소계,2016,7928
제조업,소계,2016,43967
제조업,음식료품 및 음료,2016,5705
제조업,섬유 및 가죽,2016,6740
제조업,목재 가구 및 종이제품,2016,2830
제조업,인쇄 및 기록매체 복제업,2016,1226
제조업,고무 및 화학제품,2016,4100
제조업,기계 금속,2016,11389
제조업,전기. 전자 및 정밀기기,2016,5070
제조업,자동차 및 운송장비,2016,2071
제조업,기타제조업,2016,4836
"전기, 가스, 증기 및 공기 조절 공급업",소계,2016,5939
건설업,소계,2016,53625
서비스업,소계,2016,982093
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2016,563
서비스업,도매 및 소매업,2016,275261
서비스업,운수 및 창고업,2016,61947
서비스업,숙박 및 음식점업,2016,190108
서비스업,정보통신업,2016,15637
서비스업,금융 및 보험업,2016,3650
서비스업,부동산업,2016,256136
서비스업,전문 과학 및 기술 서비스업,2016,26465
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2016,25933
서비스업,교육 서비스업,2016,34440
서비스업,보건업 및 사회복지 서비스업,2016,7068
서비스업,예술 스포츠 및 여가관련 서비스업,2016,34323
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2016,50562
합계,소계,2017,1158718
합계,기술기반업종,2017,161259
"농업, 임업 및 어업 및 광업",소계,2017,8502
제조업,소계,2017,42961
제조업,음식료품 및 음료,2017,6074
제조업,섬유 및 가죽,2017,6303
제조업,목재 가구 및 종이제품,2017,2760
제조업,인쇄 및 기록매체 복제업,2017,992
제조업,고무 및 화학제품,2017,3914
제조업,기계 금속,2017,10977
제조업,전기. 전자 및 정밀기기,2017,5274
제조업,자동차 및 운송장비,2017,1882
제조업,기타제조업,2017,4785
"전기, 가스, 증기 및 공기 조절 공급업",소계,2017,23566
건설업,소계,2017,55925
서비스업,소계,2017,1027764
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2017,555
서비스업,도매 및 소매업,2017,276970
서비스업,운수 및 창고업,2017,60895
서비스업,숙박 및 음식점업,2017,185740
서비스업,정보통신업,2017,17462
서비스업,금융 및 보험업,2017,3470
서비스업,부동산업,2017,294882
서비스업,전문 과학 및 기술 서비스업,2017,27916
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2017,30254
서비스업,교육 서비스업,2017,36067
서비스업,보건업 및 사회복지 서비스업,2017,6614
서비스업,예술 스포츠 및 여가관련 서비스업,2017,35464
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2017,51475
합계,소계,2018,1241994
합계,기술기반업종,2018,172336
"농업, 임업 및 어업 및 광업",소계,2018,8347
제조업,소계,2018,42039
제조업,음식료품 및 음료,2018,5800
제조업,섬유 및 가죽,2018,6307
제조업,목재 가구 및 종이제품,2018,2743
제조업,인쇄 및 기록매체 복제업,2018,1113
제조업,고무 및 화학제품,2018,3722
제조업,기계 금속,2018,9939
제조업,전기. 전자 및 정밀기기,2018,4820
제조업,자동차 및 운송장비,2018,1912
제조업,기타제조업,2018,5683
"전기, 가스, 증기 및 공기 조절 공급업",소계,2018,33804
건설업,소계,2018,58071
서비스업,소계,2018,1099733
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2018,630
서비스업,도매 및 소매업,2018,281547
서비스업,운수 및 창고업,2018,60944
서비스업,숙박 및 음식점업,2018,181073
서비스업,정보통신업,2018,21257
서비스업,금융 및 보험업,2018,3185
서비스업,부동산업,2018,356733
서비스업,전문 과학 및 기술 서비스업,2018,30367
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2018,32740
서비스업,교육 서비스업,2018,39705
서비스업,보건업 및 사회복지 서비스업,2018,6082
서비스업,예술 스포츠 및 여가관련 서비스업,2018,31736
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2018,53734
합계,소계,2019,1175739
합계,기술기반업종,2019,179597
"농업, 임업 및 어업 및 광업",소계,2019,9339
제조업,소계,2019,37510
제조업,음식료품 및 음료,2019,5476
