대분류,소분류,연도,창업기업수
합계,소계,2016,1190177
합계,기술기반업종,2016,190674
"농업, 임업 및 어업 및 광업",소계,2016,10296
제조업,소계,2016,58742
제조업,음식료품 및 음료,2016,6992
제조업,섬유 및 가죽,2016,7972
제조업,목재 가구 및 종이제품,2016,3665
제조업,인쇄 및 기록매체 복제업,2016,1473
제조업,고무 및 화학제품,2016,6246
제조업,기계 금속,2016,15544
제조업,전기. 전자 및 정밀기기,2016,8117
제조업,자동차 및 운송장비,2016,3307
제조업,기타제조업,2016,5426
"전기, 가스, 증기 및 공기 조절 공급업",소계,2016,6693
건설업,소계,2016,62200
서비스업,소계,2016,1052246
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2016,848
서비스업,도매 및 소매업,2016,303493
서비스업,운수 및 창고업,2016,63849
서비스업,숙박 및 음식점업,2016,191472
서비스업,정보통신업,2016,22409
서비스업,금융 및 보험업,2016,7070
서비스업,부동산업,2016,265827
서비스업,전문 과학 및 기술 서비스업,2016,35185
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2016,31780
서비스업,교육 서비스업,2016,35777
서비스업,보건업 및 사회복지 서비스업,2016,7166
서비스업,예술 스포츠 및 여가관련 서비스업,2016,35328
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2016,52042
합계,소계,2017,1256267
합계,기술기반업종,2017,198911
"농업, 임업 및 어업 및 광업",소계,2017,10885
제조업,소계,2017,58015
제조업,음식료품 및 음료,2017,7394
제조업,섬유 및 가죽,2017,7495
제조업,목재 가구 및 종이제품,2017,3575
제조업,인쇄 및 기록매체 복제업,2017,1223
제조업,고무 및 화학제품,2017,6044
제조업,기계 금속,2017,15256
제조업,전기. 전자 및 정밀기기,2017,8637
제조업,자동차 및 운송장비,2017,2971
제조업,기타제조업,2017,5420
"전기, 가스, 증기 및 공기 조절 공급업",소계,2017,25704
건설업,소계,2017,65019
서비스업,소계,2017,1096644
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2017,886
서비스업,도매 및 소매업,2017,303545
서비스업,운수 및 창고업,2017,62593
서비스업,숙박 및 음식점업,2017,187221
서비스업,정보통신업,2017,23969
서비스업,금융 및 보험업,2017,7238
서비스업,부동산업,2017,304573
서비스업,전문 과학 및 기술 서비스업,2017,37061
